,nace_code,level,description
327,26.40,4,Manufacture of consumer electronics
328,26.5,3,"Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks"
329,26.51,4,"Manufacture of instruments and appliances for measuring, testing and navigation"
330,26.52,4,Manufacture of watches and clocks
331,26.6,3,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
332,26.60,4,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
333,26.7,3,Manufacture of optical instruments and photographic equipment
334,26.70,4,Manufacture of optical instruments and photographic equipment
335,26.8,3,Manufacture of magnetic and optical media
336,26.80,4,Manufacture of magnetic and optical media
337,27,2,Manufacture of electrical equipment
338,27.1,3,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
339,27.11,4,"Manufacture of electric motors, generators and transformers"
340,27.12,4,Manufacture of electricity distribution and control apparatus
341,27.2,3,Manufacture of batteries and accumulators
342,27.20,4,Manufacture of batteries and accumulators
343,27.3,3,Manufacture of wiring and wiring devices
344,27.31,4,Manufacture of fibre optic cables
345,27.32,4,Manufacture of other electronic and electric wires and cables
346,27.33,4,Manufacture of wiring devices
347,27.4,3,Manufacture of electric lighting equipment
348,27.40,4,Manufacture of electric lighting equipment
349,27.5,3,Manufacture of domestic appliances
350,27.51,4,Manufacture of electric domestic appliances
351,27.52,4,Manufacture of non-electric domestic appliances
352,27.9,3,Manufacture of other electrical equipment
353,27.90,4,Manufacture of other electrical equipment
354,28,2,Manufacture of machinery and equipment n.e.c.
355,28.1,3,Manufacture of general — purpose machinery
356,28.11,4,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
357,28.12,4,Manufacture of fluid power equipment
358,28.13,4,Manufacture of other pumps and compressors
359,28.14,4,Manufacture of other taps and valves
360,28.15,4,"Manufacture of bearings, gears, gearing and driving elements"
361,28.2,3,Manufacture of other general-purpose machinery
362,28.21,4,"Manufacture of ovens, furnaces and furnace burners"
363,28.22,4,Manufacture of lifting and handling equipment
364,28.23,4,Manufacture of office machinery and equipment (except computers and peripheral equipment)
365,28.24,4,Manufacture of power-driven hand tools
366,28.25,4,Manufacture of non-domestic cooling and ventilation equipment
367,28.29,4,Manufacture of other general-purpose machinery n.e.c.
368,28.3,3,Manufacture of agricultural and forestry machinery
369,28.30,4,Manufacture of agricultural and forestry machinery
370,28.4,3,Manufacture of metal forming machinery and machine tools
371,28.41,4,Manufacture of metal forming machinery
372,28.49,4,Manufacture of other machine tools
373,28.9,3,Manufacture of other special-purpose machinery
374,28.91,4,Manufacture of machinery for metallurgy
375,28.92,4,"Manufacture of machinery for mining, quarrying and construction"
376,28.93,4,"Manufacture of machinery for food, beverage and tobacco processing"
377,28.94,4,"Manufacture of machinery for textile, apparel and leather production"
378,28.95,4,Manufacture of machinery for paper and paperboard production
379,28.96,4,Manufacture of plastic and rubber machinery
380,28.99,4,Manufacture of other special-purpose machinery n.e.c.
381,29,2,"Manufacture of motor vehicles, trailers and semi-trailers"
382,29.1,3,Manufacture of motor vehicles
383,29.10,4,Manufacture of motor vehicles
384,29.2,3,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
385,29.20,4,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
386,29.3,3,Manufacture of parts and accessories for motor vehicles
387,29.31,4,Manufacture of electrical and electronic equipment for motor vehicles
388,29.32,4,Manufacture of other parts and accessories for motor vehicles
389,30,2,Manufacture of other transport equipment
390,30.1,3,Building of ships and boats
391,30.11,4,Building of ships and floating structures
392,30.12,4,Building of pleasure and sporting boats
393,30.2,3,Manufacture of railway locomotives and rolling stock
394,30.20,4,Manufacture of railway locomotives and rolling stock
395,30.3,3,Manufacture of air and spacecraft and related machinery
396,30.30,4,Manufacture of air and spacecraft and related machinery
397,30.4,3,Manufacture of military fighting vehicles
398,30.40,4,Manufacture of military fighting vehicles
399,30.9,3,Manufacture of transport equipment n.e.c.
400,30.91,4,Manufacture of motorcycles
401,30.92,4,Manufacture of bicycles and invalid carriages
402,30.99,4,Manufacture of other transport equipment n.e.c.
403,31,2,Manufacture of furniture
404,31.0,3,Manufacture of furniture
405,31.01,4,Manufacture of office and shop furniture
406,31.02,4,Manufacture of kitchen furniture
407,31.03,4,Manufacture of mattresses
408,31.09,4,Manufacture of other furniture
409,32,2,Other manufacturing
410,32.1,3,"Manufacture of jewellery, bijouterie and related articles"
411,32.11,4,Striking of coins
412,32.12,4,Manufacture of jewellery and related articles
413,32.13,4,Manufacture of imitation jewellery and related articles
414,32.2,3,Manufacture of musical instruments
415,32.20,4,Manufacture of musical instruments
416,32.3,3,Manufacture of sports goods
417,32.30,4,Manufacture of sports goods
418,32.4,3,Manufacture of games and toys
419,32.40,4,Manufacture of games and toys
420,32.5,3,Manufacture of medical and dental instruments and supplies
421,32.50,4,Manufacture of medical and dental instruments and supplies
422,32.9,3,Manufacturing n.e.c.
423,32.91,4,Manufacture of brooms and brushes
424,32.99,4,Other manufacturing n.e.c.
425,33,2,Repair and installation of machinery and equipment
426,33.1,3,"Repair of fabricated metal products, machinery and equipment"
427,33.11,4,Repair of fabricated metal products
428,33.12,4,Repair of machinery
429,33.13,4,Repair of electronic and optical equipment
430,33.14,4,Repair of electrical equipment
431,33.15,4,Repair and maintenance of ships and boats
432,33.16,4,Repair and maintenance of aircraft and spacecraft
433,33.17,4,Repair and maintenance of other transport equipment
434,33.19,4,Repair of other equipment
435,33.2,3,Installation of industrial machinery and equipment
436,33.20,4,Installation of industrial machinery and equipment
437,D,1,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
438,35,2,"Electricity, gas, steam and air conditioning supply"
439,35.1,3,"Electric power generation, transmission and distribution"
440,35.11,4,Production of electricity
441,35.12,4,Transmission of electricity
442,35.13,4,Distribution of electricity
443,35.14,4,Trade of electricity
444,35.2,3,Manufacture of gas; distribution of gaseous fuels through mains
445,35.21,4,Manufacture of gas
446,35.22,4,Distribution of gaseous fuels through mains
447,35.23,4,Trade of gas through mains
448,35.3,3,Steam and air conditioning supply
449,35.30,4,Steam and air conditioning supply
450,E,1,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES"
451,36,2,"Water collection, treatment and supply"
452,36.0,3,"Water collection, treatment and supply"
453,36.00,4,"Water collection, treatment and supply"
454,37,2,Sewerage
455,37.0,3,Sewerage
456,37.00,4,Sewerage
457,38,2,"Waste collection, treatment and disposal activities; materials recovery"
458,38.1,3,Waste collection
459,38.11,4,Collection of non-hazardous waste
460,38.12,4,Collection of hazardous waste
461,38.2,3,Waste treatment and disposal
462,38.21,4,Treatment and disposal of non-hazardous waste
463,38.22,4,Treatment and disposal of hazardous waste
464,38.3,3,Materials recovery
465,38.31,4,Dismantling of wrecks
466,38.32,4,Recovery of sorted materials
467,39,2,Remediation activities and other waste management services
468,39.0,3,Remediation activities and other waste management services
469,39.00,4,Remediation activities and other waste management services
470,F,1,CONSTRUCTION
471,41,2,Construction of buildings
472,41.1,3,Development of building projects
473,41.10,4,Development of building projects
474,41.2,3,Construction of residential and non-residential buildings
475,41.20,4,Construction of residential and non-residential buildings
476,42,2,Civil engineering
477,42.1,3,Construction of roads and railways
478,42.11,4,Construction of roads and motorways
479,42.12,4,Construction of railways and underground railways
480,42.13,4,Construction of bridges and tunnels
481,42.2,3,Construction of utility projects
482,42.21,4,Construction of utility projects for fluids
483,42.22,4,Construction of utility projects for electricity and telecommunications
484,42.9,3,Construction of other civil engineering projects
485,42.91,4,Construction of water projects
486,42.99,4,Construction of other civil engineering projects n.e.c.
487,43,2,Specialised construction activities
488,43.1,3,Demolition and site preparation
489,43.11,4,Demolition
490,43.12,4,Site preparation
491,43.13,4,Test drilling and boring
492,43.2,3,"Electrical, plumbing and other construction installation activities"
493,43.21,4,Electrical installation
494,43.22,4,"Plumbing, heat and air conditioning installation"
495,43.29,4,Other construction installation
496,43.3,3,Building completion and finishing
497,43.31,4,Plastering
498,43.32,4,Joinery installation
499,43.33,4,Floor and wall covering
500,43.34,4,Painting and glazing
501,43.39,4,Other building completion and finishing
502,43.9,3,Other specialised construction activities
503,43.91,4,Roofing activities
504,43.99,4,Other specialised construction activities n.e.c.
505,G,1,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES
506,45,2,Wholesale and retail trade and repair of motor vehicles and motorcycles
507,45.1,3,Sale of motor vehicles
508,45.11,4,Sale of cars and light motor vehicles
509,45.19,4,Sale of other motor vehicles
510,45.2,3,Maintenance and repair of motor vehicles
511,45.20,4,Maintenance and repair of motor vehicles
512,45.3,3,Sale of motor vehicle parts and accessories
513,45.31,4,Wholesale trade of motor vehicle parts and accessories
514,45.32,4,Retail trade of motor vehicle parts and accessories
515,45.4,3,"Sale, maintenance and repair of motorcycles and related parts and accessories"
516,45.40,4,"Sale, maintenance and repair of motorcycles and related parts and accessories"
517,46,2,"Wholesale trade, except of motor vehicles and motorcycles"
518,46.1,3,Wholesale on a fee or contract basis
519,46.11,4,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
520,46.12,4,"Agents involved in the sale of fuels, ores, metals and industrial chemicals"
521,46.13,4,Agents involved in the sale of timber and building materials
522,46.14,4,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft"
523,46.15,4,"Agents involved in the sale of furniture, household goods, hardware and ironmongery"
524,46.16,4,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods"
525,46.17,4,"Agents involved in the sale of food, beverages and tobacco"
526,46.18,4,Agents specialised in the sale of other particular products
527,46.19,4,Agents involved in the sale of a variety of goods
528,46.2,3,Wholesale of agricultural raw materials and live animals
529,46.21,4,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
530,46.22,4,Wholesale of flowers and plants
531,46.23,4,Wholesale of live animals
532,46.24,4,"Wholesale of hides, skins and leather"
533,46.3,3,"Wholesale of food, beverages and tobacco"
534,46.31,4,Wholesale of fruit and vegetables
535,46.32,4,Wholesale of meat and meat products
536,46.33,4,"Wholesale of dairy products, eggs and edible oils and fats"
537,46.34,4,Wholesale of beverages
538,46.35,4,Wholesale of tobacco products
539,46.36,4,Wholesale of sugar and chocolate and sugar confectionery
540,46.37,4,"Wholesale of coffee, tea, cocoa and spices"
541,46.38,4,"Wholesale of other food, including fish, crustaceans and molluscs"
542,46.39,4,"Non-specialised wholesale of food, beverages and tobacco"
